log_event_id,project_id,ts,user,ip,page,event,object_type,sql_log,pk,event_id,data_values,description,legacy,change_reason
6,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/user_controls_ajax.php,MANAGE,redcap_user_information,update redcap_user_information set super_user = 1 where username = 'trex',trex,NULL,username = 'trex',Designate super user,0,NULL
7,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/file_upload_settings.php,MANAGE,redcap_config,UPDATE redcap_config SET value = 'C:\\\\edocs' WHERE field_name = 'edoc_path',,NULL,edoc_path = 'C:\\edocs',Modify system configuration,0,NULL
8,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/file_upload_settings.php,MANAGE,redcap_config,UPDATE redcap_config SET value = '10' WHERE field_name = 'edoc_upload_max',,NULL,edoc_upload_max = '10',Modify system configuration,0,NULL
9,4,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,NULL,4,NULL,project_id = 4,Create project,0,NULL
10,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_download.php,MANAGE,redcap_metadata,NULL,4,NULL,project_id = 4,Download data dictionary,0,NULL
11,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_download.php,MANAGE,redcap_metadata,NULL,4,NULL,project_id = 4,Download data dictionary,0,NULL
12,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,NULL,4,NULL,project_id = 4,Upload data dictionary,0,NULL
13,5,2013-09-12_15-36-01,trex,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,NULL,NULL,NULL,NULL,Create project,0,NULL
14,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,NULL,NULL,NULL,NULL,Upload data dictionary,0,NULL
15,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/index.php,MANAGE,redcap_docs,NULL,NULL,NULL,NULL,Upload document to file repository,0,NULL
25,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/file_download.php,MANAGE,redcap_docs,NULL,NULL,NULL,NULL,Download exported data file (CSV raw),0,NULL
26,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/file_download.php,MANAGE,redcap_docs,NULL,NULL,NULL,NULL,Download exported data file (CSV raw),0,NULL
31,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/edit_field.php,MANAGE,redcap_metadata,NULL,NULL,NULL,NULL,Create project field,0,NULL
32,6,2013-09-12_15-36-01,trex,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,NULL,6,NULL,project_id = 6,Create project,0,NULL
33,6,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,NULL,6,NULL,project_id = 6,Upload data dictionary,0,NULL
34,6,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,DataEntry/index.php,INSERT,redcap_data,"INSERT INTO redcap_data VALUES (6, 21, '1', 'last_name', 'aaaa');
INSERT INTO redcap_data VALUES (6, 21, '1', 'participant_demographics_complete', '0');
INSERT INTO redcap_data VALUES (6, 21, '1', 'first_name', '1')",,21,"last_name = 'aaaa',
participant_demographics_complete = '0',
first_name = '1'",Create record,0,NULL
